genres,keywords,title,cast,director
Action Comedy,ransom press conference ship miss america fbi agent,Miss Congeniality 2: Armed and Fabulous,Sandra Bullock Regina King Enrique Murciano William Shatner Eileen Brennan,John Pasquin
Adventure Action Fantasy,dragon evolution fire chief animated map theatre audience,Reign of Fire,Christian Bale Matthew McConaughey Izabella Scorupco Gerard Butler Alexander Siddig,Rob Bowman
Crime Drama Action Thriller,los angeles gangster,Gangster Squad,Josh Brolin Ryan Gosling Nick Nolte Emma Stone Sean Penn,Ruben Fleischer
Comedy Adventure,temple slavery stone age circumcision hebrews,Year One,Jack Black Michael Cera Olivia Wilde Oliver Platt David Cross,Harold Ramis
Drama History,stadium south africa apartheid nelson mandela sport,Invictus,Morgan Freeman Matt Damon Tony Kgoroge Patrick Mofokeng Matt Stern,Clint Eastwood
Action,corruption assassination detective journalist assassin,State of Play,Russell Crowe Ben Affleck Rachel McAdams Robin Wright Jason Bateman,Kevin Macdonald
Romance Comedy Crime,spy,Duplicity,Clive Owen Julia Roberts Paul Giamatti Tom Wilkinson Lisa Roberts Gillan,Tony Gilroy
Comedy Drama Family Science Fiction,alien martian based on tv series fish out of water,My Favorite Martian,Jeff Daniels Elizabeth Hurley Daryl Hannah Christopher Lloyd Wallace Shawn,Donald Petrie
Action Thriller Crime,usa president agent,The Sentinel,Michael Douglas Kiefer Sutherland Eva Longoria Martin Donovan Kim Basinger,Clark Johnson
Science Fiction Animation Family Comedy Adventure,flying saucer alien life-form spaceship alien alien planet,Planet 51,Dwayne Johnson Seann William Scott Jessica Biel Justin Long Gary Oldman,Jorge Blanco
Science Fiction Action Adventure Thriller,clone assassination ambush federation starfleet,Star Trek: Nemesis,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Stuart Baird
Crime Comedy Romance,california assassin infidelity fetish hitman,Intolerable Cruelty,George Clooney Catherine Zeta-Jones Edward Herrmann Geoffrey Rush Richard Jenkins,Joel Coen
Drama Romance,women baseball pitcher home run aging,Trouble with the Curve,Clint Eastwood Amy Adams Justin Timberlake John Goodman Matthew Lillard,Robert Lorenz
Crime Drama Mystery Thriller,murder violence death of daughter homicide detective,Edge of Darkness,Mel Gibson Ray Winstone Danny Huston Shawn Roberts Denis O'Hare,Martin Campbell
Horror Mystery Thriller,chicago based on novel monster museum pile of dead bodies,The Relic,Penelope Ann Miller Tom Sizemore Linda Hunt James Whitmore Clayton Rohner,Peter Hyams
Comedy Crime,prison gold therapist gangster,Analyze That,Robert De Niro Billy Crystal Lisa Kudrow Joe Viterelli Cathy Moriarty,Harold Ramis
Action Crime Drama Thriller,revenge murder plot twist dirty cop,Righteous Kill,Robert De Niro Carla Gugino 50 Cent Al Pacino Donnie Wahlberg,Jon Avnet
Action Crime Drama Thriller,assassin loss of family autism fbi bangkok,Mercury Rising,Bruce Willis Alec Baldwin Miko Hughes Chi McBride Kim Dickens,Harold Becker
Drama,newspaper cello musical violin los angeles,The Soloist,Robert Downey Jr. Jamie Foxx Catherine Keener Nelsan Ellis Michael Bunin,Joe Wright
Fantasy Drama,competition world war i great depression caddy savannah,The Legend of Bagger Vance,Matt Damon Bruce McGill Charlize Theron Will Smith Joel Gretsch,Robert Redford
Drama Music,hotel room san diego drug addiction stewardess overdose,Almost Famous,Kate Hudson Billy Crudup Frances McDormand Jason Lee Patrick Fugit,Cameron Crowe
Animation Comedy Family,london england cat mistake in person luxury wretch,Garfield: A Tail of Two Kitties,Bill Murray Jennifer Love Hewitt Billy Connolly Ian Abercrombie Breckin Meyer,Tim Hill
Action Adventure Crime Drama Mystery,washington d.c. helicopter usa president general coup d'etat,xXx: State of the Union,Ice Cube Samuel L. Jackson Willem Dafoe Scott Speedman Peter Strauss,Lee Tamahori
Action Science Fiction Fantasy Thriller Horror,vampire crucifixion post-apocalyptic dystopia vampire hunter,Priest,Paul Bettany Karl Urban Cam Gigandet Maggie Q Lily Collins,Scott Stewart
Family Animation Adventure,prince water monster,Sinbad: Legend of the Seven Seas,Brad Pitt Catherine Zeta-Jones Michelle Pfeiffer Joseph Fiennes Dennis Haysbert,Tim Johnson
Horror Science Fiction Mystery,space marine nudity nightmare hallucination cryogenics,Event Horizon,Laurence Fishburne Sam Neill Kathleen Quinlan Joely Richardson Richard T. Jones,Paul W.S. Anderson
Drama,pregnancy and birth voice dragonfly car crash jungle,Dragonfly,Kevin Costner Joe Morton Ron Rifkin Susanna Thompson Kathy Bates,Tom Shadyac
Drama,pornography observer los angeles murder hunt,The Black Dahlia,Josh Hartnett Scarlett Johansson Aaron Eckhart Hilary Swank Mia Kirshner,Brian De Palma
Action Adventure Drama History Romance,world war i biplane,Flyboys,James Franco David Ellison Jean Reno Philip Winchester Abdul Salis,Tony Bill
Action Drama Thriller,prison general,The Last Castle,Robert Redford James Gandolfini Mark Ruffalo Steve Burton Delroy Lindo,Rod Lurie
Horror Science Fiction Thriller,black people starships future star supernova,Supernova,James Spader Angela Bassett Robert Forster Lou Diamond Phillips Peter Facinelli,Walter Hill
Drama Fantasy Mystery Romance,based on novel,Winter's Tale,Colin Farrell Jessica Brown Findlay Russell Crowe William Hurt Jennifer Connelly,Akiva Goldsman
Action Adventure Drama Mystery Romance,angel vampire werewolf warlock downworlder,The Mortal Instruments: City of Bones,Lily Collins Jamie Campbell Bower Kevin Zegers Jemima West Robert Sheehan,Harald Zwart
Comedy Science Fiction Adventure Family,new york captain starships new love earth,Meet Dave,Eddie Murphy Elizabeth Banks Gabrielle Union Scott Caan Ed Helms,Brian Robbins
Drama Horror Thriller,based on novel water remake teacher divorce,Dark Water,Jennifer Connelly John C. Reilly Tim Roth Dougray Scott Pete Postlethwaite,Walter Salles
Comedy,tv show tv station simulated reality  reality tv tv star,Edtv,Matthew McConaughey Woody Harrelson Sally Kirkland Jenna Elfman Martin Landau,Ron Howard
Adventure Family Fantasy,book fairy tale eavesdropping adventure writer's block,Inkheart,Brendan Fraser Sienna Guillory Andy Serkis Eliza Bennett Paul Bettany,Iain Softley
Action Comedy Thriller Crime Science Fiction,secret identity robber mask frog based on comic strip,The Spirit,Gabriel Macht Scarlett Johansson Samuel L. Jackson Eva Mendes Paz Vega,Frank Miller
Comedy Adventure,based on novel painting debt art dealer stolen painting,Mortdecai,Johnny Depp Gwyneth Paltrow Ewan McGregor Paul Bettany Olivia Munn,David Koepp
Adventure Fantasy Action Drama,fictional place monster loss of family new love hero,In the Name of the King: A Dungeon Siege Tale,Jason Statham John Rhys-Davies Ray Liotta Leelee Sobieski Burt Reynolds,Uwe Boll
Drama Romance Adventure War,london england cia landmine love of one's life cambodia,Beyond Borders,Angelina Jolie Clive Owen Teri Polo Linus Roache Noah Emmerich,Martin Campbell
Action Adventure Fantasy,monkey king,The Monkey King 2,Aaron Kwok Gong Li William Feng Xiao Shen Yang Him Law,Soi Cheang
Action History War,based on novel world war ii prisoners of war narration archive footage,The Great Raid,Benjamin Bratt James Franco Connie Nielsen Marton Csokas Joseph Fiennes,John Dahl
Action Adventure Comedy,anti hero mercenary marvel comic superhero based on comic book,Deadpool,Ryan Reynolds Morena Baccarin Ed Skrein T.J. Miller Gina Carano,Tim Miller
Drama Comedy,salesclerk television tv ratings guru television producer,Holy Man,Eddie Murphy Jeff Goldblum Kelly Preston Robert Loggia Jon Cryer,Stephen Herek
War Action,sniper biography iraq navy seal u.s. soldier,American Sniper,Bradley Cooper Sienna Miller Kyle Gallner Cole Konis Ben Reed,Clint Eastwood
Adventure Horror Comedy,based on novel magic fantasy werewolf family,Goosebumps,Jack Black Dylan Minnette Odeya Rush Amy Ryan Jillian Bell,Rob Letterman
Comedy Fantasy Romance,coma based on novel workaholic flirt architect,Just Like Heaven,Reese Witherspoon Mark Ruffalo Donal Logue Dina Spybey-Waters Ben Shenkman,Mark Waters
Science Fiction Comedy Family Romance,waitress marriage proposal flirt stone age best friend,The Flintstones in Viva Rock Vegas,Mark Addy Stephen Baldwin Kristen Johnston Jane Krakowski Joan Collins,Brian Levant
Action Adventure Thriller War,competition submachine gun soviet union liberation russian,Rambo III,Sylvester Stallone Richard Crenna Kurtwood Smith Spiros Foc\u00e1s Sasson Gabai,Peter MacDonald
Comedy Romance Drama,american football sports team stadium hero success,Leatherheads,George Clooney Ren\u00e9e Zellweger John Krasinski Wayne Duvall Stephen Root,George Clooney
Comedy Western,wild west,The Ridiculous 6,Adam Sandler Taylor Lautner Steve Buscemi Terry Crews Danny Trejo,Frank Coraci
Comedy,witness protection comedy duringcreditsstinger,Did You Hear About the Morgans?,Hugh Grant Sarah Jessica Parker Mary Steenburgen Sam Elliott Natalia Klimas,Marc Lawrence
Comedy,job interview loss of job intern reference to google new job,The Internship,Owen Wilson Vince Vaughn Rose Byrne Max Minghella Aasif Mandvi,Shawn Levy
Action Adventure Horror Science Fiction,post-apocalyptic dystopia undead biohazard evil corporation,Resident Evil: Afterlife,Milla Jovovich Wentworth Miller Ali Larter Kim Coates Kacey Clarke,Paul W.S. Anderson
Drama Action Adventure History War,world war ii fighter pilot fighter plane,Red Tails,Bryan Cranston David Oyelowo Cuba Gooding Jr. Daniela Ruah Terrence Howard,Anthony Hemingway
Drama Horror Mystery Thriller,child abuse southern usa obsession subway nudity,The Devil's Advocate,Keanu Reeves Al Pacino Charlize Theron Jeffrey Jones Judith Ivey,Taylor Hackford
Comedy,deadbeat dad cheating fianc\u00e9e teacher student sex brother sister incest,That's My Boy,Adam Sandler Susan Sarandon Eva Amurri Martino Leighton Meester Andy Samberg,Sean Anders
Fantasy,magic kingdom despot immortality village,DragonHeart,Dennis Quaid David Thewlis Pete Postlethwaite Dina Meyer Julie Christie,Rob Cohen
Action Comedy Crime Drama,bahamas master thief crook couple,After the Sunset,Pierce Brosnan Salma Hayek Woody Harrelson Troy Garity Russell Hornsby,Brett Ratner
Action Fantasy Thriller,monk eastern europe skeleton biker marvel comic,Ghost Rider: Spirit of Vengeance,Nicolas Cage Ciar\u00e1n Hinds Violante Placido Fergus Riordan Johnny Whitworth,Brian Taylor
Drama History Romance,officer greek island mandolin italian soldier resistance fighter,Captain Corelli's Mandolin,Nicolas Cage Pen\u00e9lope Cruz John Hurt Christian Bale Irene Papas,John Madden
Action Comedy Drama Family Thriller,bodybuilder children body guard scientist family,The Pacifier,Vin Diesel Lauren Graham Faith Ford Chris Potter Brittany Snow,Adam Shankman
Adventure Drama Action Thriller,casino sheriff home violence special forces,Walking Tall,Dwayne Johnson Johnny Knoxville Neal McDonough Kristen Wilson Cobie Smulders,Kevin Bray
Comedy Drama Romance,vietnam veteran hippie mentally disabled running based on novel,Forrest Gump,Tom Hanks Robin Wright Gary Sinise Mykelti Williamson Sally Field,Robert Zemeckis
Comedy Music Family Fantasy Animation,pop pop star record producer surprise approach,Alvin and the Chipmunks,Jason Lee David Cross Cameron Richardson Jane Lynch Justin Long,Tim Hill
Comedy Romance,cia airport cat jew orderly,Meet the Parents,Ben Stiller Robert De Niro Teri Polo Blythe Danner Owen Wilson,Jay Roach
Adventure Animation Drama Family,culture clash settler forbidden love colony musical,Pocahontas,Irene Bedard Mel Gibson David Ogden Stiers John Kassir Russell Means,Mike Gabriel
Action Adventure Fantasy Science Fiction,saving the world journalist dc comics crime fighter nuclear missile,Superman,Christopher Reeve Marlon Brando Margot Kidder Gene Hackman Ned Beatty,Richard Donner
Fantasy Comedy Romance Science Fiction,overweight overweight man duringcreditsstinger,The Nutty Professor,Eddie Murphy Jada Pinkett Smith James Coburn Larry Miller Dave Chappelle,Tom Shadyac
Comedy Drama Romance,speed date romantic comedy dating,Hitch,Will Smith Eva Mendes Kevin James Amber Valletta Julie Ann Emery,Andy Tennant
Adventure Comedy Family Romance,africa san francisco gorilla lion feral child,George of the Jungle,Brendan Fraser Leslie Mann Thomas Haden Church John Cleese Richard Roundtree,Sam Weisman
Comedy Romance,handcuffs sister sister relationship spanner blow job stag night,American Wedding,Jason Biggs Alyson Hannigan Seann William Scott Eddie Kaye Thomas Thomas Ian Nicholas,Jesse Dylan
Action Drama Thriller,ship hijacking somalia fisherman blood,Captain Phillips,Tom Hanks Catherine Keener Max Martini Chris Mulkey Yul Vazquez,Paul Greengrass
Comedy,date corruption taxi expensive restaurant wife husband relationship,Date Night,Tina Fey Steve Carell Mark Wahlberg Taraji P. Henson Jimmi Simpson,Shawn Levy
Fantasy Comedy Family,halloween friendship supernatural afterlife friends,Casper,Christina Ricci Bill Pullman Cathy Moriarty Eric Idle Joe Nipote,Brad Silberling
Thriller Action Crime,corruption assassin hostage fbi hitman,The Equalizer,Denzel Washington Marton Csokas Chlo\u00eb Grace Moretz David Harbour Haley Bennett,Antoine Fuqua
Comedy Drama Romance,hotel politician mistaken identity maid class differences,Maid in Manhattan,Jennifer Lopez Ralph Fiennes Natasha Richardson Stanley Tucci Tyler Posey,Wayne Wang
Action Thriller Drama,submarine mutiny russia missile nuclear missile,Crimson Tide,Denzel Washington Gene Hackman Matt Craven George Dzundza Viggo Mortensen,Tony Scott
Drama,san francisco single parent homeless person bus worker,The Pursuit of Happyness,Will Smith Jaden Smith Thandie Newton Brian Howe James Karen,Gabriele Muccino
Thriller Drama Mystery,berlin loss of father airplane baby-snatching,Flightplan,Jodie Foster Peter Sarsgaard Sean Bean Kate Beahan Michael Irby,Robert Schwentke
Drama Thriller Crime Mystery Romance,employee workplace sexual harassment intrigue,Disclosure,Michael Douglas Demi Moore Donald Sutherland Dylan Baker Jacqueline Kim,Barry Levinson
Drama Fantasy Romance,suicide angel life and death desperation operation,City of Angels,Nicolas Cage Meg Ryan Andre Braugher Dennis Franz Colm Feore,Brad Silberling
Action Crime,japan coma martial arts kung fu underworld,Kill Bill: Vol. 1,Uma Thurman Lucy Liu Vivica A. Fox Daryl Hannah David Carradine,Quentin Tarantino
Comedy,film producer film director movie studio hollywood filmmaking,Bowfinger,Steve Martin Eddie Murphy Heather Graham Christine Baranski Jamie Kennedy,Frank Oz
Action Crime Thriller,brother brother relationship swordplay katana mother role rage and hate,Kill Bill: Vol. 2,Uma Thurman David Carradine Daryl Hannah Michael Madsen Gordon Liu Chia-Hui,Quentin Tarantino
Action Adventure Comedy,prisoner war on drugs los angeles,Tango & Cash,Sylvester Stallone Kurt Russell Teri Hatcher Jack Palance Brion James,Andrei Konchalovsky
Fantasy Comedy,jealousy beauty immortality rivalry potion,Death Becomes Her,Meryl Streep Bruce Willis Goldie Hawn Isabella Rossellini Ian Ogilvy,Robert Zemeckis
Adventure Action Comedy Western,princess sioux travel rescue native american,Shanghai Noon,Jackie Chan Owen Wilson Lucy Liu Xander Berkeley Roger Yuan,Tom Dey
Action Adventure Drama Thriller,bomb ransom hostage airplane hijacking,Executive Decision,Kurt Russell Steven Seagal Halle Berry John Leguizamo Oliver Platt,Stuart Baird
Comedy Family,taxi restaurant zoo penguin ex husband,Mr. Popper's Penguins,Jim Carrey Carla Gugino Madeline Carroll Angela Lansbury Ophelia Lovibond,Mark Waters
Action Adventure Fantasy,tempel shaolin teenager urination staff,The Forbidden Kingdom,Jackie Chan Jet Li Michael Angarano Liu Yifei Li Bingbing,Rob Minkoff
Animation Comedy Family,holiday thanksgiving freedom duringcreditsstinger 3d,Free Birds,Owen Wilson Woody Harrelson Amy Poehler George Takei Colm Meaney,Jimmy Hayward
Science Fiction Action Horror,prison android spacecraft space marine imprisonment,Alien³,Sigourney Weaver Charles S. Dutton Charles Dance Pete Postlethwaite Ralph Brown,David Fincher
History Drama Music,prostitute deification dancehall hostess per\u00f3nism argentine president,Evita,Madonna Antonio Banderas Jonathan Pryce Jimmy Nail Victoria Sus,Alan Parker
